spelling,province_id
WACQ,1
WAFN-FM,1
WAGF-FM,1
WALX,1
WARB,1
WATV_(AM),1
WBPT,1
WCRL,1
WCSN-FM,1
WDYG,1
WESP,1
WESZ-LP,1
WFXO,1
WGZZ,1
WHIY,1
WIEZ_(AM),1
WIXI,1
WJLD,1
WJLX,1
WJRD,1
WKAC,1
WKXM-FM,1
WMFC_(FM),1
WMXN-FM,1
WOAB,1
WOPP,1
WOZK,1
WQJJ-LP,1
WRBZ,1
WSMX-FM,1
WTBF-FM,1
WVOK_(AM),1
WXAL,1
WZNJ,1
KEAG,2
KFMJ,2
KKNI-FM,2
KMJG,2
KSBZ,2
KVAK-FM,2
KWJG,2
KXBA,2
KXXJ,2
KYSC,2
KAZG,3
KBUX,3
KCDX,3
KCMA-LP,3
KEMP,3
KFMM,3
KFTT,3
KHYT,3
KIKO-FM,3
KJAA,3
KKLD,3
KKYZ,3
KLPX,3
KOAI,3
KOAS,3
KOOL-FM,3
KRCY-FM,3
KRDX,3
KRIM-LP,3
KRRK,3
KSLX-FM,3
KSNX,3
KTGV,3
KWMX,3
KXAZ,3
KZBX-LP,3
KZKE,3
KZXK,3
KAGH_(AM),4
KAGL,4
KBHC,4
KCON_(FM),4
KCTT-FM,4
KCWD,4
KERL,4
KFCM,4
KFLI,4
KFLO-LP,4
KFMD-FM,4
KGFL,4
KHBM-FM,4
KHOM,4
KKPT,4
KLBL,4
KLCN,4
KLXQ,4
KMRX,4
KNBY,4
KQBK,4
KQOR,4
KRLW,4
KRZS_(FM),4
KSUG,4
KTHS_(AM),4
KTRQ,4
KVOM_(AM),4
KWAK_(AM),4
KWLT,4
KXAR,4
KYEL,4
KYGL,4
KZLE,4
WGUE_(AM),4
KAFY,5
KALT-FM,5
KBAY,5
KBOV,5
KCCL,5
KCHJ_(AM),5
KCHJ-FM,5
KDAC,5
KDGL,5
KDHT_(FM),5
KDJK,5
KEBF-LP,5
KFXM-LP,5
KHIP,5
KHKK,5
KHRD,5
KIOO,5
KIXA,5
KJFX,5
KJOI-LP,5
KJOR,5
KJWL,5
KKBB,5
KKHB,5
KKHP-LP,5
KLLK,5
KLSN-LP,5
KLUK,5
KMGV,5
KMKX,5
KMVE,5
KNTO,5
KOAD-LP,5
KOCP,5
KODS,5
KOKO-FM,5
KOLA,5
KOMY,5
KOOH-LP,5
KQAV,5
KQIE,5
KQLH-LP,5
KQTE,5
KRDG,5
KRHQ,5
KRHV,5
KRTH,5
KRTO_(FM),5
KRVQ-FM,5
KRVR,5
KSEG_(FM),5
KSSI,5
KSUR_(AM),5
KTDE,5
KTEA,5
KTHO,5
KTHU,5
KUBA,5
KUFX,5
KUKI_(AM),5
KVFG,5
KVGH_(AM),5
KVRV,5
KWDJ,5
KWPT,5
KWVF,5
KWXY,5
KXDZ,5
KXFM,5
KXO_(AM),5
KXSN,5
KXTZ,5
KYNO,5
KYRV,5
KZAP_(FM),5
KZFX,5
KZRO,5
KAYW,6
KBKL,6
KBLJ,6
KCOQ_(FM),6
KCRT-FM,6
KEJJ,6
KFEZ,6
KFTM,6
KGIW,6
KGJX,6
KJBL,6
KKFM,6
KQMT,6
KQZR,6
KRDZ,6
KRKV,6
KSBV,6
KSTR-FM,6
KTND,6
KTRR,6
KWCC-FM,6
KWRP,6
KWUZ,6
KXKL-FM,6
KXRC,6
KZKS,6
WATR,7
WAXB,7
WDRC-FM,7
WFOX_(FM),7
WKNL,7
WMOS,7
WNLC,7
WNTY,7
WJKI-FM,8
WMHS_(FM),8
WNCL,8
WAFC_(AM),9
WAIL,9
WARO,9
WBGG-FM,9
WBPC,9
WCJX,9
WEAT,9
WERF-LP,9
WFJV-LP,9
WFKZ,9
WGHR_(FM),9
WGLF,9
WGMX,9
WGRO,9
WGVR-LP,9
WHOG-FM,9
WJGL,9
WJTQ,9
WKEY-FM,9
WKEZ-FM,9
WKGR,9
WKYZ,9
WLBE,9
WLQH,9
WMMO,9
WMXJ,9
WNDD,9
WNDN,9
WNDT,9
WNFK,9
WOCL,9
WOLZ,9
WOYS,9
WPRY,9
WQTL,9
WRBA,9
WRBQ-FM,9
WROD,9
WROK-FM,9
WSBH,9
WSOS_(AM),9
WSRQ,9
WSVU,9
WTOT_(AM),9
WTOT-FM,9
WVLG,9
WWBF,9
WWUS,9
WWWK,9
WXCZ,9
WXGL,9
WXJZ,9
WXOF,9
WYBT,9
WZCC,9
WATG,10
WAYX,10
WBBT_(AM),10
WBML,10
WBMZ,10
WBOJ,10
WBTY,10
WDDK,10
WEBS_(AM),10
WEKL,10
WGAA,10
WGMK,10
WGSW,10
WHJD,10
WIXV,10
WJGA-FM,10
WKEU_(AM),10
WKEU-FM,10
WLEL,10
WMGZ,10
WMLT,10
WMTM-FM,10
WNEG_(AM),10
WNNX,10
WOKS,10
WPEH-FM,10
WQBZ,10
WQMJ,10
WRBF,10
WRDO,10
WRLA,10
WSGT,10
WSIZ-FM,10
WSRV,10
WSSI,10
WTHG,10
WTIF_(AM),10
WTRP,10
WTTY,10
WTWA,10
WVHY,10
WVLD,10
WWGA,10
WWNS,10
WXJR-LP,10
WXRS_(AM),10
WYIS,10
WYSC,10
KECH-FM,12
KJOT,12
