"callsign"	"city"	"branding"	"station_format"	"webcast_url"	"webcast_img"	"website"	"comment"	"user_id"
"KATX"	"Eastland, Texas"	""	"Classic rock"	"http://www.katxradio.com/katxplayer.html"	""	"http://www.katxradio.com/"	""	"1"
"KBUS"	"Paris, Texas"	"101.9 The Bus"	"Classic rock"	"http://streamdb3web.securenetsystems.net/v5/KBUS"	"https://cdnrf.securenetsystems.net/file_radio/v5/logo_default.png"	"http://easttexasradio.com/stations/kbus-101-9/"	""	"1"
"KCLL"	""	"Cool 100"	"Oldies"	"http://www.kcll-fm.com"	""	"http://www.kcll-fm.com"	""	"1"
"KCOL-FM"	"Groves, Texas"	"Cool 92.5"	"Classic hits"	"http://cool925.iheart.com/mediaplayer/?station=KCOL-FM"	"https://i.iheart.com/v3/re/assets/images/2189.png"	"http://cool925.iheart.com/"	""	"1"
"KCSA-LP"	""	""	"Oldies/Variety"	"http://myradiostream.com/kcsa957"	""	"http://www.kcsaradio.com/"	""	"1"
"KDOK"	""	"All Hit Radio 1240"	"Classic hits"	"http://player.streamlicensing.com/3761?l&stream_id=6992"	""	"http://www.kdokradio.com"	""	"1"
"KEFH"	""	"Kool 99.3"	"Classic Hits"	"http://www.mainstreamnetwork.com/listen/player.asp?station=kefh-fm"	"http://www.mainstreamnetwork.com/images/mainstreamnetwork_200.jpg"	"http://www.kool993.net"	""	"1"
"KEOM"	"Mesquite, Texas"	"Mesquite Schools Radio"	"Classic hits"	"http://v6.player.abacast.net/4398"	""	"http://www.keom.fm"	""	"1"
"KETX-FM"	""	"92.3 The Eagle"	"Classic Hits"	"http://radio.securenetsystems.net/radio_player_large.cfm?stationCallSign=KETX"	"https://cdnrf.securenetsystems.net/file_radio/v5/logo_default.png"	"http://www.923theeagle.com/"	""	"1"
"KGVL"	""	"EZ Rock 105.9"	"Classic hits/Soft AC"	"http://streamdb3web.securenetsystems.net/v5/KGVL"	"https://cdnrf.securenetsystems.net/file_radio/stations_large/KGVL/v5/logo.png"	"http://eradiokgvl.com"	""	"1"
